"train/global_step","glad-glitter-9 - train/ppl","glad-glitter-9 - train/ppl__MIN","glad-glitter-9 - train/ppl__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/ppl","sleek-moon-7 - train/ppl__MIN","sleek-moon-7 - train/ppl__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/ppl","magic-universe-6 - train/ppl__MIN","magic-universe-6 - train/ppl__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/ppl","visionary-oath-5 - train/ppl__MIN","visionary-oath-5 - train/ppl__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"760","","","","","","","","","","","","","23.745148474677038","23.745148474677038","23.745148474677038","155","155","155","","","","","",""
"770","","","","","","","","","","","","","24.4134861037489","24.4134861037489","24.4134861037489","157","157","157","","","","","",""
"780","","","","","","","","","","","","","24.9871492777075","24.9871492777075","24.9871492777075","159","159","159","","","","","",""
"790","","","","","","","","","","","","","24.960436284741075","24.960436284741075","24.960436284741075","161","161","161","","","","","",""
"800","","","","","","","","","","","","","23.94507698147148","23.94507698147148","23.94507698147148","163","163","163","","","","","",""
"810","","","","","","","","","","","","","25.74104833827393","25.74104833827393","25.74104833827393","165","165","165","","","","","",""
"820","","","","","","","","","","","","","24.028215427985817","24.028215427985817","24.028215427985817","167","167","167","","","","","",""
"830","","","","","","","","","","","","","26.223324064508443","26.223324064508443","26.223324064508443","169","169","169","","","","","",""
"840","","","","","","","","","","","","","23.688824458162127","23.688824458162127","23.688824458162127","171","171","171","","","","","",""
"850","","","","","","","","","","","","","24.519291609506524","24.519291609506524","24.519291609506524","173","173","173","","","","","",""
"860","","","","","","","","","","","","","23.99910799057015","23.99910799057015","23.99910799057015","175","175","175","","","","","",""
"870","","","","","","","","","","","","","23.128561163974688","23.128561163974688","23.128561163974688","177","177","177","","","","","",""
"880","","","","","","","","","","","","","25.57920479952331","25.57920479952331","25.57920479952331","179","179","179","","","","","",""
"890","","","","","","","","","","","","","24.75210089040553","24.75210089040553","24.75210089040553","181","181","181","","","","","",""
"900","","","","","","","","","","","","","22.648999111639892","22.648999111639892","22.648999111639892","183","183","183","","","","","",""
"910","","","","","","","","","","","","","24.71849069522357","24.71849069522357","24.71849069522357","185","185","185","","","","","",""
"920","","","","","","","","","","","","","24.165841974083474","24.165841974083474","24.165841974083474","187","187","187","","","","","",""
"930","","","","","","","","","","","","","24.328996045972268","24.328996045972268","24.328996045972268","189","189","189","","","","","",""
"940","","","","","","","","","","","","","24.47490800976029","24.47490800976029","24.47490800976029","191","191","191","","","","","",""
"950","","","","","","","","","","","","","24.539081964136017","24.539081964136017","24.539081964136017","193","193","193","","","","","",""
"960","","","","","","","","","","","","","22.409416260852524","22.409416260852524","22.409416260852524","195","195","195","","","","","",""
"970","","","","","","","","","","","","","23.758648813432398","23.758648813432398","23.758648813432398","197","197","197","","","","","",""
"980","","","","","","","","","","","","","23.754670399452742","23.754670399452742","23.754670399452742","199","199","199","","","","","",""
"990","","","","","","","","","","","","","24.584908946604738","24.584908946604738","24.584908946604738","201","201","201","","","","","",""
"1000","","","","","","","","","","","","","1","1","1","204","204","204","","","","","",""
"1010","","","","","","","","","","","","","23.796154739931072","23.796154739931072","23.796154739931072","206","206","206","","","","","",""
"1020","","","","","","","","","","","","","24.905537777431665","24.905537777431665","24.905537777431665","208","208","208","","","","","",""
"1030","","","","","","","","","","","","","24.809301496310127","24.809301496310127","24.809301496310127","210","210","210","","","","","",""
"1040","","","","","","","","","","","","","22.515209425244276","22.515209425244276","22.515209425244276","212","212","212","","","","","",""
"1050","","","","","","","","","","","","","25.725911228638804","25.725911228638804","25.725911228638804","214","214","214","","","","","",""
"1060","","","","","","","","","","","","","24.755113128193244","24.755113128193244","24.755113128193244","216","216","216","","","","","",""
"1070","","","","","","","","","","","","","23.43323584109627","23.43323584109627","23.43323584109627","218","218","218","","","","","",""
"1080","","","","","","","","","","","","","25.050903170507503","25.050903170507503","25.050903170507503","220","220","220","","","","","",""
"1090","","","","","","","","","","","","","23.299417138099766","23.299417138099766","23.299417138099766","222","222","222","","","","","",""
"1100","","","","","","","","","","","","","24.52226616077449","24.52226616077449","24.52226616077449","224","224","224","","","","","",""
"1110","","","","","","","","","","","","","24.556621226557468","24.556621226557468","24.556621226557468","226","226","226","","","","","",""
"1120","","","","","","","","","","","","","23.821158259111023","23.821158259111023","23.821158259111023","228","228","228","","","","","",""
"1130","","","","","","","","","","","","","25.37060143090412","25.37060143090412","25.37060143090412","230","230","230","","","","","",""
"1140","","","","","","","","","","","","","22.778778049027867","22.778778049027867","22.778778049027867","232","232","232","","","","","",""
"1150","","","","","","","","","","","","","25.97196058605517","25.97196058605517","25.97196058605517","234","234","234","","","","","",""
"1160","","","","","","","","","","","","","23.91122629804684","23.91122629804684","23.91122629804684","236","236","236","","","","","",""
"1170","","","","","","","","","","","","","23.96412047707795","23.96412047707795","23.96412047707795","238","238","238","","","","","",""
"1180","","","","","","","","","","","","","24.827640033787482","24.827640033787482","24.827640033787482","240","240","240","","","","","",""
"1190","","","","","","","","","","","","","24.601307854033816","24.601307854033816","24.601307854033816","242","242","242","","","","","",""
"1200","","","","","","","","","","","","","24.53470144606675","24.53470144606675","24.53470144606675","244","244","244","","","","","",""
"1210","","","","","","","","","","","","","24.896637204185485","24.896637204185485","24.896637204185485","246","246","246","","","","","",""
"1220","","","","","","","","","","","","","24.337521931803195","24.337521931803195","24.337521931803195","248","248","248","","","","","",""
"1230","","","","","","","","","","","","","25.828668615024032","25.828668615024032","25.828668615024032","250","250","250","","","","","",""
"1240","","","","","","","","","","","","","24.508313214597337","24.508313214597337","24.508313214597337","252","252","252","","","","","",""
"1250","","","","","","","","","","","","","24.770321553205964","24.770321553205964","24.770321553205964","254","254","254","","","","","",""
"1260","","","","","","","","","","","","","24.617323284819843","24.617323284819843","24.617323284819843","256","256","256","","","","","",""
"1270","","","","","","","","","","","","","22.549195444965317","22.549195444965317","22.549195444965317","258","258","258","","","","","",""
"1280","","","","","","","","","","","","","24.815775715178397","24.815775715178397","24.815775715178397","260","260","260","","","","","",""
"1290","","","","","","","","","","","","","25.828924790528436","25.828924790528436","25.828924790528436","262","262","262","","","","","",""
"1300","","","","","","","","","","","","","23.907910895759905","23.907910895759905","23.907910895759905","264","264","264","","","","","",""
"1310","","","","","","","","","","","","","24.025323717402685","24.025323717402685","24.025323717402685","266","266","266","","","","","",""
"1320","","","","","","","","","","","","","25.439079249644116","25.439079249644116","25.439079249644116","268","268","268","","","","","",""
"1330","","","","","","","","","","","","","25.953054021627704","25.953054021627704","25.953054021627704","270","270","270","","","","","",""
"1340","","","","","","","","","","","","","23.99329988841055","23.99329988841055","23.99329988841055","272","272","272","","","","","",""
