"train/global_step","glad-glitter-9 - train/throughput_tokens_per_sec","glad-glitter-9 - train/throughput_tokens_per_sec__MIN","glad-glitter-9 - train/throughput_tokens_per_sec__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/throughput_tokens_per_sec","sleek-moon-7 - train/throughput_tokens_per_sec__MIN","sleek-moon-7 - train/throughput_tokens_per_sec__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/throughput_tokens_per_sec","magic-universe-6 - train/throughput_tokens_per_sec__MIN","magic-universe-6 - train/throughput_tokens_per_sec__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/throughput_tokens_per_sec","visionary-oath-5 - train/throughput_tokens_per_sec__MIN","visionary-oath-5 - train/throughput_tokens_per_sec__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"610","","","","","","","","","","","","","-14.630748091686264","-14.630748091686264","-14.630748091686264","125","125","125","","","","","",""
"620","","","","","","","","","","","","","-14.642764075243393","-14.642764075243393","-14.642764075243393","127","127","127","","","","","",""
"630","","","","","","","","","","","","","-14.661326366736862","-14.661326366736862","-14.661326366736862","129","129","129","","","","","",""
"640","","","","","","","","","","","","","-14.535783628674729","-14.535783628674729","-14.535783628674729","131","131","131","","","","","",""
"650","","","","","","","","","","","","","-14.675609952379453","-14.675609952379453","-14.675609952379453","133","133","133","","","","","",""
"660","","","","","","","","","","","","","-14.669205349946036","-14.669205349946036","-14.669205349946036","135","135","135","","","","","",""
"670","","","","","","","","","","","","","-14.53153131499484","-14.53153131499484","-14.53153131499484","137","137","137","","","","","",""
"680","","","","","","","","","","","","","-14.680669577620076","-14.680669577620076","-14.680669577620076","139","139","139","","","","","",""
"690","","","","","","","","","","","","","-14.698890292752926","-14.698890292752926","-14.698890292752926","141","141","141","","","","","",""
"700","","","","","","","","","","","","","-12.151161120044224","-12.151161120044224","-12.151161120044224","143","143","143","","","","","",""
"710","","","","","","","","","","","","","-14.656665778137217","-14.656665778137217","-14.656665778137217","145","145","145","","","","","",""
"720","","","","","","","","","","","","","-14.735330237492928","-14.735330237492928","-14.735330237492928","147","147","147","","","","","",""
"730","","","","","","","","","","","","","-14.555137707901137","-14.555137707901137","-14.555137707901137","149","149","149","","","","","",""
"740","","","","","","","","","","","","","-14.688961608979614","-14.688961608979614","-14.688961608979614","151","151","151","","","","","",""
"750","","","","","","","","","","","","","-14.564110243348027","-14.564110243348027","-14.564110243348027","153","153","153","","","","","",""
"760","","","","","","","","","","","","","-14.691754504529651","-14.691754504529651","-14.691754504529651","155","155","155","","","","","",""
"770","","","","","","","","","","","","","-14.696347323203684","-14.696347323203684","-14.696347323203684","157","157","157","","","","","",""
"780","","","","","","","","","","","","","-14.542111621426304","-14.542111621426304","-14.542111621426304","159","159","159","","","","","",""
"790","","","","","","","","","","","","","-14.6202407162841","-14.6202407162841","-14.6202407162841","161","161","161","","","","","",""
"800","","","","","","","","","","","","","-14.698297927561855","-14.698297927561855","-14.698297927561855","163","163","163","","","","","",""
"810","","","","","","","","","","","","","-14.543647990516453","-14.543647990516453","-14.543647990516453","165","165","165","","","","","",""
"820","","","","","","","","","","","","","-14.74708767007453","-14.74708767007453","-14.74708767007453","167","167","167","","","","","",""
"830","","","","","","","","","","","","","-14.637770449437982","-14.637770449437982","-14.637770449437982","169","169","169","","","","","",""
"840","","","","","","","","","","","","","-14.551847444791328","-14.551847444791328","-14.551847444791328","171","171","171","","","","","",""
"850","","","","","","","","","","","","","-14.696622500863942","-14.696622500863942","-14.696622500863942","173","173","173","","","","","",""
"860","","","","","","","","","","","","","-14.635342737461693","-14.635342737461693","-14.635342737461693","175","175","175","","","","","",""
"870","","","","","","","","","","","","","-14.61425191337572","-14.61425191337572","-14.61425191337572","177","177","177","","","","","",""
"880","","","","","","","","","","","","","-14.657368439100344","-14.657368439100344","-14.657368439100344","179","179","179","","","","","",""
"890","","","","","","","","","","","","","-14.590126810806487","-14.590126810806487","-14.590126810806487","181","181","181","","","","","",""
"900","","","","","","","","","","","","","-14.692627803778397","-14.692627803778397","-14.692627803778397","183","183","183","","","","","",""
"910","","","","","","","","","","","","","-14.631601392761912","-14.631601392761912","-14.631601392761912","185","185","185","","","","","",""
"920","","","","","","","","","","","","","-14.542763947724044","-14.542763947724044","-14.542763947724044","187","187","187","","","","","",""
"930","","","","","","","","","","","","","-14.647102526651587","-14.647102526651587","-14.647102526651587","189","189","189","","","","","",""
"940","","","","","","","","","","","","","-14.7119569941457","-14.7119569941457","-14.7119569941457","191","191","191","","","","","",""
"950","","","","","","","","","","","","","-14.560424179608942","-14.560424179608942","-14.560424179608942","193","193","193","","","","","",""
"960","","","","","","","","","","","","","-14.718970378420584","-14.718970378420584","-14.718970378420584","195","195","195","","","","","",""
"970","","","","","","","","","","","","","-14.693867970591622","-14.693867970591622","-14.693867970591622","197","197","197","","","","","",""
"980","","","","","","","","","","","","","-14.611962437628389","-14.611962437628389","-14.611962437628389","199","199","199","","","","","",""
"990","","","","","","","","","","","","","-14.724975866626455","-14.724975866626455","-14.724975866626455","201","201","201","","","","","",""
"1000","","","","","","","","","","","","","-14.537183250134657","-14.537183250134657","-14.537183250134657","204","204","204","","","","","",""
"1010","","","","","","","","","","","","","-14.681971968138422","-14.681971968138422","-14.681971968138422","206","206","206","","","","","",""
"1020","","","","","","","","","","","","","-14.72938580867365","-14.72938580867365","-14.72938580867365","208","208","208","","","","","",""
"1030","","","","","","","","","","","","","-14.617895233594588","-14.617895233594588","-14.617895233594588","210","210","210","","","","","",""
"1040","","","","","","","","","","","","","-14.715620157342048","-14.715620157342048","-14.715620157342048","212","212","212","","","","","",""
"1050","","","","","","","","","","","","","-14.61988876627378","-14.61988876627378","-14.61988876627378","214","214","214","","","","","",""
"1060","","","","","","","","","","","","","-14.644513528128373","-14.644513528128373","-14.644513528128373","216","216","216","","","","","",""
"1070","","","","","","","","","","","","","-14.676518244920267","-14.676518244920267","-14.676518244920267","218","218","218","","","","","",""
"1080","","","","","","","","","","","","","-14.515495028721094","-14.515495028721094","-14.515495028721094","220","220","220","","","","","",""
"1090","","","","","","","","","","","","","-14.675739930814448","-14.675739930814448","-14.675739930814448","222","222","222","","","","","",""
"1100","","","","","","","","","","","","","-14.695290157514455","-14.695290157514455","-14.695290157514455","224","224","224","","","","","",""
"1110","","","","","","","","","","","","","-14.46815927015945","-14.46815927015945","-14.46815927015945","226","226","226","","","","","",""
"1120","","","","","","","","","","","","","-14.699006195875075","-14.699006195875075","-14.699006195875075","228","228","228","","","","","",""
"1130","","","","","","","","","","","","","-14.646546294214833","-14.646546294214833","-14.646546294214833","230","230","230","","","","","",""
"1140","","","","","","","","","","","","","-14.528346071018209","-14.528346071018209","-14.528346071018209","232","232","232","","","","","",""
"1150","","","","","","","","","","","","","-14.694207404223556","-14.694207404223556","-14.694207404223556","234","234","234","","","","","",""
"1160","","","","","","","","","","","","","-14.729510275549224","-14.729510275549224","-14.729510275549224","236","236","236","","","","","",""
"1170","","","","","","","","","","","","","-14.611361151562834","-14.611361151562834","-14.611361151562834","238","238","238","","","","","",""
"1180","","","","","","","","","","","","","-14.710434841983998","-14.710434841983998","-14.710434841983998","240","240","240","","","","","",""
"1190","","","","","","","","","","","","","-14.66779301603649","-14.66779301603649","-14.66779301603649","242","242","242","","","","","",""
"1200","","","","","","","","","","","","","-14.665113375198779","-14.665113375198779","-14.665113375198779","244","244","244","","","","","",""
"1210","","","","","","","","","","","","","-14.664126385888288","-14.664126385888288","-14.664126385888288","246","246","246","","","","","",""
"1220","","","","","","","","","","","","","-14.572066996163231","-14.572066996163231","-14.572066996163231","248","248","248","","","","","",""
"1230","","","","","","","","","","","","","-14.724804628638902","-14.724804628638902","-14.724804628638902","250","250","250","","","","","",""
"1240","","","","","","","","","","","","","-12.744827465710545","-12.744827465710545","-12.744827465710545","252","252","252","","","","","",""
"1250","","","","","","","","","","","","","-14.514854564578354","-14.514854564578354","-14.514854564578354","254","254","254","","","","","",""
"1260","","","","","","","","","","","","","-14.705639865032767","-14.705639865032767","-14.705639865032767","256","256","256","","","","","",""
"1270","","","","","","","","","","","","","-14.683994262839413","-14.683994262839413","-14.683994262839413","258","258","258","","","","","",""
"1280","","","","","","","","","","","","","-14.479678373519024","-14.479678373519024","-14.479678373519024","260","260","260","","","","","",""
"1290","","","","","","","","","","","","","-14.651365180597343","-14.651365180597343","-14.651365180597343","262","262","262","","","","","",""
"1300","","","","","","","","","","","","","-14.663413464894777","-14.663413464894777","-14.663413464894777","264","264","264","","","","","",""
"1310","","","","","","","","","","","","","-14.551721229317087","-14.551721229317087","-14.551721229317087","266","266","266","","","","","",""
"1320","","","","","","","","","","","","","-14.685273141732244","-14.685273141732244","-14.685273141732244","268","268","268","","","","","",""
"1330","","","","","","","","","","","","","-14.666321656607758","-14.666321656607758","-14.666321656607758","270","270","270","","","","","",""
"1340","","","","","","","","","","","","","-14.60338209696453","-14.60338209696453","-14.60338209696453","272","272","272","","","","","",""
"1350","","","","","","","","","","","","","-14.696134912408041","-14.696134912408041","-14.696134912408041","274","274","274","","","","","",""
"1360","","","","","","","","","","","","","-14.599847646455364","-14.599847646455364","-14.599847646455364","276","276","276","","","","","",""
"1370","","","","","","","","","","","","","-14.650827815256287","-14.650827815256287","-14.650827815256287","278","278","278","","","","","",""
"1380","","","","","","","","","","","","","-14.652481619132086","-14.652481619132086","-14.652481619132086","280","280","280","","","","","",""
"1390","","","","","","","","","","","","","-14.547268802137538","-14.547268802137538","-14.547268802137538","282","282","282","","","","","",""
"1400","","","","","","","","","","","","","-14.704702188038","-14.704702188038","-14.704702188038","284","284","284","","","","","",""
"1410","","","","","","","","","","","","","-14.608842014704654","-14.608842014704654","-14.608842014704654","286","286","286","","","","","",""
"1420","","","","","","","","","","","","","-14.571722107713361","-14.571722107713361","-14.571722107713361","288","288","288","","","","","",""
"1430","","","","","","","","","","","","","-14.715752458916459","-14.715752458916459","-14.715752458916459","290","290","290","","","","","",""
"1440","","","","","","","","","","","","","-14.704831071257736","-14.704831071257736","-14.704831071257736","292","292","292","","","","","",""
"1450","","","","","","","","","","","","","-14.45982326870797","-14.45982326870797","-14.45982326870797","294","294","294","","","","","",""
"1460","","","","","","","","","","","","","-14.66643384137473","-14.66643384137473","-14.66643384137473","296","296","296","","","","","",""
"1470","","","","","","","","","","","","","-14.717022352335777","-14.717022352335777","-14.717022352335777","298","298","298","","","","","",""
