"train/global_step","glad-glitter-9 - train/bpt","glad-glitter-9 - train/bpt__MIN","glad-glitter-9 - train/bpt__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/bpt","sleek-moon-7 - train/bpt__MIN","sleek-moon-7 - train/bpt__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/bpt","magic-universe-6 - train/bpt__MIN","magic-universe-6 - train/bpt__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/bpt","visionary-oath-5 - train/bpt__MIN","visionary-oath-5 - train/bpt__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"760","","","","","","","","","","","","","4.569560872056894","4.569560872056894","4.569560872056894","155","155","155","","","","","",""
"770","","","","","","","","","","","","","4.609606413172757","4.609606413172757","4.609606413172757","157","157","157","","","","","",""
"780","","","","","","","","","","","","","4.6431144121779","4.6431144121779","4.6431144121779","159","159","159","","","","","",""
"790","","","","","","","","","","","","","4.641571246248239","4.641571246248239","4.641571246248239","161","161","161","","","","","",""
"800","","","","","","","","","","","","","4.58165716861574","4.58165716861574","4.58165716861574","163","163","163","","","","","",""
"810","","","","","","","","","","","","","4.685998905308085","4.685998905308085","4.685998905308085","165","165","165","","","","","",""
"820","","","","","","","","","","","","","4.586657598586106","4.586657598586106","4.586657598586106","167","167","167","","","","","",""
"830","","","","","","","","","","","","","4.712778667839235","4.712778667839235","4.712778667839235","169","169","169","","","","","",""
"840","","","","","","","","","","","","","4.566134702479466","4.566134702479466","4.566134702479466","171","171","171","","","","","",""
"850","","","","","","","","","","","","","4.615845393401576","4.615845393401576","4.615845393401576","173","173","173","","","","","",""
"860","","","","","","","","","","","","","4.584908878992133","4.584908878992133","4.584908878992133","175","175","175","","","","","",""
"870","","","","","","","","","","","","","4.531603613080869","4.531603613080869","4.531603613080869","177","177","177","","","","","",""
"880","","","","","","","","","","","","","4.676899509630115","4.676899509630115","4.676899509630115","179","179","179","","","","","",""
"890","","","","","","","","","","","","","4.629479077273014","4.629479077273014","4.629479077273014","181","181","181","","","","","",""
"900","","","","","","","","","","","","","4.501375392020739","4.501375392020739","4.501375392020739","183","183","183","","","","","",""
"910","","","","","","","","","","","","","4.62751875022542","4.62751875022542","4.62751875022542","185","185","185","","","","","",""
"920","","","","","","","","","","","","","4.5948973561820035","4.5948973561820035","4.5948973561820035","187","187","187","","","","","",""
"930","","","","","","","","","","","","","4.604604882513424","4.604604882513424","4.604604882513424","189","189","189","","","","","",""
"940","","","","","","","","","","","","","4.613231532280703","4.613231532280703","4.613231532280703","191","191","191","","","","","",""
"950","","","","","","","","","","","","","4.617009371982616","4.617009371982616","4.617009371982616","193","193","193","","","","","",""
"960","","","","","","","","","","","","","4.48603316370257","4.48603316370257","4.48603316370257","195","195","195","","","","","",""
"970","","","","","","","","","","","","","4.570380885336208","4.570380885336208","4.570380885336208","197","197","197","","","","","",""
"980","","","","","","","","","","","","","4.570139284108277","4.570139284108277","4.570139284108277","199","199","199","","","","","",""
"990","","","","","","","","","","","","","4.6197011068478","4.6197011068478","4.6197011068478","201","201","201","","","","","",""
