"train/global_step","glad-glitter-9 - train/step_time","glad-glitter-9 - train/step_time__MIN","glad-glitter-9 - train/step_time__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/step_time","sleek-moon-7 - train/step_time__MIN","sleek-moon-7 - train/step_time__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/step_time","magic-universe-6 - train/step_time__MIN","magic-universe-6 - train/step_time__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/step_time","visionary-oath-5 - train/step_time__MIN","visionary-oath-5 - train/step_time__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"1300","","","","","","","","","","","","","2.182302236557007","2.182302236557007","2.182302236557007","264","264","264","","","","","",""
"1310","","","","","","","","","","","","","2.199052572250366","2.199052572250366","2.199052572250366","266","266","266","","","","","",""
"1320","","","","","","","","","","","","","2.179053783416748","2.179053783416748","2.179053783416748","268","268","268","","","","","",""
"1330","","","","","","","","","","","","","2.1818695068359375","2.1818695068359375","2.1818695068359375","270","270","270","","","","","",""
"1340","","","","","","","","","","","","","2.1912732124328613","2.1912732124328613","2.1912732124328613","272","272","272","","","","","",""
"1350","","","","","","","","","","","","","2.177443265914917","2.177443265914917","2.177443265914917","274","274","274","","","","","",""
"1360","","","","","","","","","","","","","2.1918036937713623","2.1918036937713623","2.1918036937713623","276","276","276","","","","","",""
"1370","","","","","","","","","","","","","2.1841769218444824","2.1841769218444824","2.1841769218444824","278","278","278","","","","","",""
"1380","","","","","","","","","","","","","2.1839303970336914","2.1839303970336914","2.1839303970336914","280","280","280","","","","","",""
"1390","","","","","","","","","","","","","2.19972562789917","2.19972562789917","2.19972562789917","282","282","282","","","","","",""
"1400","","","","","","","","","","","","","2.1761746406555176","2.1761746406555176","2.1761746406555176","284","284","284","","","","","",""
"1410","","","","","","","","","","","","","2.1904542446136475","2.1904542446136475","2.1904542446136475","286","286","286","","","","","",""
"1420","","","","","","","","","","","","","2.1960341930389404","2.1960341930389404","2.1960341930389404","288","288","288","","","","","",""
"1430","","","","","","","","","","","","","2.1745405197143555","2.1745405197143555","2.1745405197143555","290","290","290","","","","","",""
"1440","","","","","","","","","","","","","2.1761555671691895","2.1761555671691895","2.1761555671691895","292","292","292","","","","","",""
"1450","","","","","","","","","","","","","2.2130284309387207","2.2130284309387207","2.2130284309387207","294","294","294","","","","","",""
"1460","","","","","","","","","","","","","2.1818528175354004","2.1818528175354004","2.1818528175354004","296","296","296","","","","","",""
"1470","","","","","","","","","","","","","2.1743528842926025","2.1743528842926025","2.1743528842926025","298","298","298","","","","","",""
"1480","","","","","","","","","","","","","2.1933891773223877","2.1933891773223877","2.1933891773223877","300","300","300","","","","","",""
"1490","","","","","","","","","","","","","2.182199716567993","2.182199716567993","2.182199716567993","302","302","302","","","","","",""
"1500","","","","","","","","","","","","","2.193004846572876","2.193004846572876","2.193004846572876","305","305","305","","","","","",""
"1510","","","","","","","","","","","","","2.509263753890991","2.509263753890991","2.509263753890991","307","307","307","","","","","",""
"1520","","","","","","","","","","","","","2.1716814041137695","2.1716814041137695","2.1716814041137695","309","309","309","","","","","",""
"1530","","","","","","","","","","","","","2.1926684379577637","2.1926684379577637","2.1926684379577637","311","311","311","","","","","",""
"1540","","","","","","","","","","","","","2.1870012283325195","2.1870012283325195","2.1870012283325195","313","313","313","","","","","",""
"1550","","","","","","","","","","","","","2.192708730697632","2.192708730697632","2.192708730697632","315","315","315","","","","","",""
"1560","","","","","","","","","","","","","2.181051731109619","2.181051731109619","2.181051731109619","317","317","317","","","","","",""
"1570","","","","","","","","","","","","","2.1750736236572266","2.1750736236572266","2.1750736236572266","319","319","319","","","","","",""
"1580","","","","","","","","","","","","","2.1916844844818115","2.1916844844818115","2.1916844844818115","321","321","321","","","","","",""
"1590","","","","","","","","","","","","","2.1779658794403076","2.1779658794403076","2.1779658794403076","323","323","323","","","","","",""
"1600","","","","","","","","","","","","","2.1796693801879883","2.1796693801879883","2.1796693801879883","325","325","325","","","","","",""
"1610","","","","","","","","","","","","","2.201176404953003","2.201176404953003","2.201176404953003","327","327","327","","","","","",""
"1620","","","","","","","","","","","","","2.184295177459717","2.184295177459717","2.184295177459717","329","329","329","","","","","",""
"1630","","","","","","","","","","","","","2.1888744831085205","2.1888744831085205","2.1888744831085205","331","331","331","","","","","",""
"1640","","","","","","","","","","","","","2.20123028755188","2.20123028755188","2.20123028755188","333","333","333","","","","","",""
"1650","","","","","","","","","","","","","2.1771957874298096","2.1771957874298096","2.1771957874298096","335","335","335","","","","","",""
"1660","","","","","","","","","","","","","2.1833102703094482","2.1833102703094482","2.1833102703094482","337","337","337","","","","","",""
"1670","","","","","","","","","","","","","2.187425136566162","2.187425136566162","2.187425136566162","339","339","339","","","","","",""
"1680","","","","","","","","","","","","","2.1778693199157715","2.1778693199157715","2.1778693199157715","341","341","341","","","","","",""
"1690","","","","","","","","","","","","","2.1916637420654297","2.1916637420654297","2.1916637420654297","343","343","343","","","","","",""
"1700","","","","","","","","","","","","","2.1912784576416016","2.1912784576416016","2.1912784576416016","345","345","345","","","","","",""
"1710","","","","","","","","","","","","","2.1804182529449463","2.1804182529449463","2.1804182529449463","347","347","347","","","","","",""
"1720","","","","","","","","","","","","","2.1996536254882812","2.1996536254882812","2.1996536254882812","349","349","349","","","","","",""
"1730","","","","","","","","","","","","","2.18266224861145","2.18266224861145","2.18266224861145","351","351","351","","","","","",""
"1740","","","","","","","","","","","","","2.1857776641845703","2.1857776641845703","2.1857776641845703","353","353","353","","","","","",""
"1750","","","","","","","","","","","","","2.2002780437469482","2.2002780437469482","2.2002780437469482","355","355","355","","","","","",""
"1760","","","","","","","","","","","","","2.185375213623047","2.185375213623047","2.185375213623047","357","357","357","","","","","",""
"1770","","","","","","","","","","","","","2.177119255065918","2.177119255065918","2.177119255065918","359","359","359","","","","","",""
"1780","","","","","","","","","","","","","2.6157760620117188","2.6157760620117188","2.6157760620117188","361","361","361","","","","","",""
"1790","","","","","","","","","","","","","2.187875270843506","2.187875270843506","2.187875270843506","363","363","363","","","","","",""
"1800","","","","","","","","","","","","","2.1831681728363037","2.1831681728363037","2.1831681728363037","365","365","365","","","","","",""
"1810","","","","","","","","","","","","","2.1942763328552246","2.1942763328552246","2.1942763328552246","367","367","367","","","","","",""
"1820","","","","","","","","","","","","","2.1768674850463867","2.1768674850463867","2.1768674850463867","369","369","369","","","","","",""
"1830","","","","","","","","","","","","","2.1953938007354736","2.1953938007354736","2.1953938007354736","371","371","371","","","","","",""
"1840","","","","","","","","","","","","","2.175340175628662","2.175340175628662","2.175340175628662","373","373","373","","","","","",""
"1850","","","","","","","","","","","","","2.1830461025238037","2.1830461025238037","2.1830461025238037","375","375","375","","","","","",""
"1860","","","","","","","","","","","","","2.1992597579956055","2.1992597579956055","2.1992597579956055","377","377","377","","","","","",""
"1870","","","","","","","","","","","","","2.1766538619995117","2.1766538619995117","2.1766538619995117","379","379","379","","","","","",""
