"train/global_step","glad-glitter-9 - train/grad_norm","glad-glitter-9 - train/grad_norm__MIN","glad-glitter-9 - train/grad_norm__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/grad_norm","sleek-moon-7 - train/grad_norm__MIN","sleek-moon-7 - train/grad_norm__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/grad_norm","magic-universe-6 - train/grad_norm__MIN","magic-universe-6 - train/grad_norm__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/grad_norm","visionary-oath-5 - train/grad_norm__MIN","visionary-oath-5 - train/grad_norm__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"770","","","","","","","","","","","","","0.2700875699520111","0.2700875699520111","0.2700875699520111","156","156","156","","","","","",""
"780","","","","","","","","","","","","","0.25746604800224304","0.25746604800224304","0.25746604800224304","158","158","158","","","","","",""
"790","","","","","","","","","","","","","0.278985857963562","0.278985857963562","0.278985857963562","160","160","160","","","","","",""
"800","","","","","","","","","","","","","0.2803647220134735","0.2803647220134735","0.2803647220134735","162","162","162","","","","","",""
"810","","","","","","","","","","","","","0.28307002782821655","0.28307002782821655","0.28307002782821655","164","164","164","","","","","",""
"820","","","","","","","","","","","","","0.22979827225208282","0.22979827225208282","0.22979827225208282","166","166","166","","","","","",""
"830","","","","","","","","","","","","","0.284094899892807","0.284094899892807","0.284094899892807","168","168","168","","","","","",""
"840","","","","","","","","","","","","","0.2423536479473114","0.2423536479473114","0.2423536479473114","170","170","170","","","","","",""
"850","","","","","","","","","","","","","0.24085521697998047","0.24085521697998047","0.24085521697998047","172","172","172","","","","","",""
"860","","","","","","","","","","","","","0.260924369096756","0.260924369096756","0.260924369096756","174","174","174","","","","","",""
"870","","","","","","","","","","","","","0.20300978422164917","0.20300978422164917","0.20300978422164917","176","176","176","","","","","",""
"880","","","","","","","","","","","","","0.254169225692749","0.254169225692749","0.254169225692749","178","178","178","","","","","",""
"890","","","","","","","","","","","","","0.25026917457580566","0.25026917457580566","0.25026917457580566","180","180","180","","","","","",""
"900","","","","","","","","","","","","","0.2235800325870514","0.2235800325870514","0.2235800325870514","182","182","182","","","","","",""
"910","","","","","","","","","","","","","0.2168213129043579","0.2168213129043579","0.2168213129043579","184","184","184","","","","","",""
"920","","","","","","","","","","","","","0.23864567279815674","0.23864567279815674","0.23864567279815674","186","186","186","","","","","",""
"930","","","","","","","","","","","","","0.3057797849178314","0.3057797849178314","0.3057797849178314","188","188","188","","","","","",""
"940","","","","","","","","","","","","","0.2826769948005676","0.2826769948005676","0.2826769948005676","190","190","190","","","","","",""
"950","","","","","","","","","","","","","0.257418155670166","0.257418155670166","0.257418155670166","192","192","192","","","","","",""
"960","","","","","","","","","","","","","0.2625558078289032","0.2625558078289032","0.2625558078289032","194","194","194","","","","","",""
