"train/global_step","glad-glitter-9 - train/loss","glad-glitter-9 - train/loss__MIN","glad-glitter-9 - train/loss__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/loss","sleek-moon-7 - train/loss__MIN","sleek-moon-7 - train/loss__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/loss","magic-universe-6 - train/loss__MIN","magic-universe-6 - train/loss__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/loss","visionary-oath-5 - train/loss__MIN","visionary-oath-5 - train/loss__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"560","","","","","","","","","","","","","3.2412082672119142","3.2412082672119142","3.2412082672119142","114","114","114","","","","","",""
"570","","","","","","","","","","","","","3.2611129760742186","3.2611129760742186","3.2611129760742186","116","116","116","","","","","",""
"580","","","","","","","","","","","","","3.2765056610107424","3.2765056610107424","3.2765056610107424","118","118","118","","","","","",""
"590","","","","","","","","","","","","","3.167789268493652","3.167789268493652","3.167789268493652","120","120","120","","","","","",""
"600","","","","","","","","","","","","","3.193355941772461","3.193355941772461","3.193355941772461","122","122","122","","","","","",""
"610","","","","","","","","","","","","","3.208603286743164","3.208603286743164","3.208603286743164","124","124","124","","","","","",""
"620","","","","","","","","","","","","","3.2556182861328127","3.2556182861328127","3.2556182861328127","126","126","126","","","","","",""
"630","","","","","","","","","","","","","3.1736602783203125","3.1736602783203125","3.1736602783203125","128","128","128","","","","","",""
"640","","","","","","","","","","","","","3.226607894897461","3.226607894897461","3.226607894897461","130","130","130","","","","","",""
"650","","","","","","","","","","","","","3.240133285522461","3.240133285522461","3.240133285522461","132","132","132","","","","","",""
"660","","","","","","","","","","","","","3.1966854095458985","3.1966854095458985","3.1966854095458985","134","134","134","","","","","",""
"670","","","","","","","","","","","","","3.1724151611328124","3.1724151611328124","3.1724151611328124","136","136","136","","","","","",""
"680","","","","","","","","","","","","","3.241029739379883","3.241029739379883","3.241029739379883","138","138","138","","","","","",""
"690","","","","","","","","","","","","","3.19107666015625","3.19107666015625","3.19107666015625","140","140","140","","","","","",""
"700","","","","","","","","","","","","","3.238327407836914","3.238327407836914","3.238327407836914","142","142","142","","","","","",""
"710","","","","","","","","","","","","","3.1332418441772463","3.1332418441772463","3.1332418441772463","144","144","144","","","","","",""
"720","","","","","","","","","","","","","3.2092700958251954","3.2092700958251954","3.2092700958251954","146","146","146","","","","","",""
"730","","","","","","","","","","","","","3.1742136001586916","3.1742136001586916","3.1742136001586916","148","148","148","","","","","",""
"740","","","","","","","","","","","","","3.2110939025878906","3.2110939025878906","3.2110939025878906","150","150","150","","","","","",""
