"train/global_step","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"2510","","","","","","","508.5","508","509","","",""
"2520","","","","","","","510.5","510","511","","",""
"2530","","","","","","","512.5","512","513","","",""
"2540","","","","","","","514.5","514","515","","",""
"2550","","","","","","","516.5","516","517","","",""
"2560","","","","","","","518.5","518","519","","",""
"2570","","","","","","","520.5","520","521","","",""
"2580","","","","","","","522.5","522","523","","",""
"2590","","","","","","","524.5","524","525","","",""
"2600","","","","","","","526.5","526","527","","",""
"2610","","","","","","","528.5","528","529","","",""
"2620","","","","","","","530.5","530","531","","",""
"2630","","","","","","","532.5","532","533","","",""
"2640","","","","","","","534.5","534","535","","",""
"2650","","","","","","","536.5","536","537","","",""
"2660","","","","","","","538.5","538","539","","",""
"2670","","","","","","","540.5","540","541","","",""
"2680","","","","","","","542.5","542","543","","",""
"2690","","","","","","","544.5","544","545","","",""
"2700","","","","","","","546.5","546","547","","",""
"2710","","","","","","","548.5","548","549","","",""
"2720","","","","","","","550.5","550","551","","",""
"2730","","","","","","","552.5","552","553","","",""
"2740","","","","","","","554.5","554","555","","",""
"2750","","","","","","","556.5","556","557","","",""
"2760","","","","","","","558.5","558","559","","",""
"2770","","","","","","","560.5","560","561","","",""
"2780","","","","","","","562.5","562","563","","",""
"2790","","","","","","","564.5","564","565","","",""
"2800","","","","","","","566.5","566","567","","",""
"2810","","","","","","","568.5","568","569","","",""
"2820","","","","","","","570.5","570","571","","",""
"2830","","","","","","","572.5","572","573","","",""
"2840","","","","","","","574.5","574","575","","",""
"2850","","","","","","","576.5","576","577","","",""
"2860","","","","","","","578.5","578","579","","",""
"2870","","","","","","","580.5","580","581","","",""
"2880","","","","","","","582.5","582","583","","",""
"2890","","","","","","","584.5","584","585","","",""
"2900","","","","","","","586.5","586","587","","",""
"2910","","","","","","","588.5","588","589","","",""
"2920","","","","","","","590.5","590","591","","",""
"2930","","","","","","","592.5","592","593","","",""
"2940","","","","","","","594.5","594","595","","",""
"2950","","","","","","","596.5","596","597","","",""
"2960","","","","","","","598.5","598","599","","",""
"2970","","","","","","","600.5","600","601","","",""
"2980","","","","","","","602.5","602","603","","",""
"2990","","","","","","","604.5","604","605","","",""
"3000","","","","","","","607","606","608","","",""
"3010","","","","","","","609.5","609","610","","",""
"3020","","","","","","","611.5","611","612","","",""
"3030","","","","","","","613.5","613","614","","",""
"3040","","","","","","","615.5","615","616","","",""
"3050","","","","","","","617.5","617","618","","",""
"3060","","","","","","","619.5","619","620","","",""
"3070","","","","","","","621.5","621","622","","",""
"3080","","","","","","","623.5","623","624","","",""
"3090","","","","","","","625.5","625","626","","",""
"3100","","","","","","","627.5","627","628","","",""
"3110","","","","","","","629.5","629","630","","",""
"3120","","","","","","","631.5","631","632","","",""
"3130","","","","","","","633.5","633","634","","",""
"3140","","","","","","","635.5","635","636","","",""
"3150","","","","","","","637.5","637","638","","",""
"3160","","","","","","","639.5","639","640","","",""
"3170","","","","","","","641.5","641","642","","",""
"3180","","","","","","","643.5","643","644","","",""
"3190","","","","","","","645.5","645","646","","",""
"3200","","","","","","","647.5","647","648","","",""
"3210","","","","","","","649.5","649","650","","",""
"3220","","","","","","","651.5","651","652","","",""
"3230","","","","","","","653.5","653","654","","",""
"3240","","","","","","","655.5","655","656","","",""
"3250","","","","","","","657.5","657","658","","",""
"3260","","","","","","","659.5","659","660","","",""
"3270","","","","","","","661.5","661","662","","",""
"3280","","","","","","","663.5","663","664","","",""
"3290","","","","","","","665.5","665","666","","",""
"3300","","","","","","","667.5","667","668","","",""
"3310","","","","","","","669.5","669","670","","",""
"3320","","","","","","","671.5","671","672","","",""
"3330","","","","","","","673.5","673","674","","",""
"3340","","","","","","","675.5","675","676","","",""
"3350","","","","","","","677.5","677","678","","",""
"3360","","","","","","","679.5","679","680","","",""
"3370","","","","","","","681.5","681","682","","",""
"3380","","","","","","","683.5","683","684","","",""
"3390","","","","","","","685.5","685","686","","",""
"3400","","","","","","","687.5","687","688","","",""
"3410","","","","","","","689.5","689","690","","",""
"3420","","","","","","","691.5","691","692","","",""
"3430","","","","","","","693.5","693","694","","",""
"3440","","","","","","","695.5","695","696","","",""
"3450","","","","","","","697.5","697","698","","",""
"3460","","","","","","","699.5","699","700","","",""
"3470","","","","","","","701.5","701","702","","",""
"3480","","","","","","","703.5","703","704","","",""
"3490","","","","","","","705.5","705","706","","",""
"3500","","","","","","","708","707","709","","",""
"3510","","","","","","","710.5","710","711","","",""
"3520","","","","","","","712.5","712","713","","",""
"3530","","","","","","","714.5","714","715","","",""
"3540","","","","","","","716.5","716","717","","",""
"3550","","","","","","","718.5","718","719","","",""
"3560","","","","","","","720.5","720","721","","",""
"3570","","","","","","","722.5","722","723","","",""
"3580","","","","","","","724.5","724","725","","",""
"3590","","","","","","","726.5","726","727","","",""
"3600","","","","","","","728.5","728","729","","",""
"3610","","","","","","","730.5","730","731","","",""
"3620","","","","","","","732.5","732","733","","",""
"3630","","","","","","","734.5","734","735","","",""
"3640","","","","","","","736.5","736","737","","",""
"3650","","","","","","","738.5","738","739","","",""
"3660","","","","","","","740.5","740","741","","",""
"3670","","","","","","","742.5","742","743","","",""
"3680","","","","","","","744.5","744","745","","",""
"3690","","","","","","","746.5","746","747","","",""
"3700","","","","","","","748.5","748","749","","",""
"3710","","","","","","","750.5","750","751","","",""
"3720","","","","","","","752.5","752","753","","",""
"3730","","","","","","","754.5","754","755","","",""
"3740","","","","","","","756.5","756","757","","",""
"3750","","","","","","","758.5","758","759","","",""
"3760","","","","","","","760.5","760","761","","",""
"3770","","","","","","","762.5","762","763","","",""
"3780","","","","","","","764.5","764","765","","",""
"3790","","","","","","","766.5","766","767","","",""
"3800","","","","","","","768.5","768","769","","",""
"3810","","","","","","","770.5","770","771","","",""
"3820","","","","","","","772.5","772","773","","",""
"3830","","","","","","","774.5","774","775","","",""
"3840","","","","","","","776.5","776","777","","",""
"3850","","","","","","","778.5","778","779","","",""
"3860","","","","","","","780.5","780","781","","",""
"3870","","","","","","","782.5","782","783","","",""
"3880","","","","","","","784.5","784","785","","",""
"3890","","","","","","","786.5","786","787","","",""
"3900","","","","","","","788.5","788","789","","",""
"3910","","","","","","","790.5","790","791","","",""
"3920","","","","","","","792.5","792","793","","",""
"3930","","","","","","","794.5","794","795","","",""
"3940","","","","","","","796.5","796","797","","",""
"3950","","","","","","","798.5","798","799","","",""
"3960","","","","","","","800.5","800","801","","",""
"3970","","","","","","","802.5","802","803","","",""
"3980","","","","","","","804.5","804","805","","",""
"3990","","","","","","","806.5","806","807","","",""
"4000","","","","","","","809","808","810","","",""
"4010","","","","2.5","2","3","811.5","811","812","","",""
"4020","","","","4.5","4","5","813.5","813","814","","",""
"4030","","","","6.5","6","7","815.5","815","816","","",""
"4040","","","","8.5","8","9","817.5","817","818","","",""
"4050","","","","10.5","10","11","819.5","819","820","","",""
"4060","","","","12.5","12","13","821.5","821","822","","",""
"4070","","","","14.5","14","15","823.5","823","824","","",""
"4080","","","","16.5","16","17","825.5","825","826","","",""
"4090","","","","18.5","18","19","827.5","827","828","","",""
"4100","","","","20.5","20","21","829.5","829","830","","",""
"4110","","","","22.5","22","23","831.5","831","832","","",""
"4120","","","","24.5","24","25","833.5","833","834","","",""
"4130","","","","26.5","26","27","835.5","835","836","","",""
"4140","","","","28.5","28","29","837.5","837","838","","",""
"4150","","","","30.5","30","31","839.5","839","840","","",""
"4160","","","","32.5","32","33","841.5","841","842","","",""
"4170","","","","34.5","34","35","843.5","843","844","","",""
"4180","","","","36.5","36","37","845.5","845","846","","",""
"4190","","","","38.5","38","39","847.5","847","848","","",""
