"train/global_step","glad-glitter-9 - train/epoch","glad-glitter-9 - train/epoch__MIN","glad-glitter-9 - train/epoch__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/epoch","sleek-moon-7 - train/epoch__MIN","sleek-moon-7 - train/epoch__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/epoch","magic-universe-6 - train/epoch__MIN","magic-universe-6 - train/epoch__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/epoch","visionary-oath-5 - train/epoch__MIN","visionary-oath-5 - train/epoch__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"940","","","","","","","","","","","","","0.4423529411764706","0.4423529411764706","0.4423529411764706","190","190","190","","","","","",""
"950","","","","","","","","","","","","","0.4470588235294118","0.4470588235294118","0.4470588235294118","192","192","192","","","","","",""
"960","","","","","","","","","","","","","0.45176470588235296","0.45176470588235296","0.45176470588235296","194","194","194","","","","","",""
"970","","","","","","","","","","","","","0.45647058823529413","0.45647058823529413","0.45647058823529413","196","196","196","","","","","",""
"980","","","","","","","","","","","","","0.4611764705882353","0.4611764705882353","0.4611764705882353","198","198","198","","","","","",""
"990","","","","","","","","","","","","","0.46588235294117647","0.46588235294117647","0.46588235294117647","200","200","200","","","","","",""
"1000","","","","","","","","","","","","","0.47058823529411764","0.47058823529411764","0.47058823529411764","202.5","202","203","","","","","",""
"1010","","","","","","","","","","","","","0.4752941176470588","0.4752941176470588","0.4752941176470588","205","205","205","","","","","",""
"1020","","","","","","","","","","","","","0.48","0.48","0.48","207","207","207","","","","","",""
"1030","","","","","","","","","","","","","0.48470588235294115","0.48470588235294115","0.48470588235294115","209","209","209","","","","","",""
"1040","","","","","","","","","","","","","0.4894117647058824","0.4894117647058824","0.4894117647058824","211","211","211","","","","","",""
"1050","","","","","","","","","","","","","0.49411764705882355","0.49411764705882355","0.49411764705882355","213","213","213","","","","","",""
"1060","","","","","","","","","","","","","0.4988235294117647","0.4988235294117647","0.4988235294117647","215","215","215","","","","","",""
"1070","","","","","","","","","","","","","0.5035294117647059","0.5035294117647059","0.5035294117647059","217","217","217","","","","","",""
"1080","","","","","","","","","","","","","0.508235294117647","0.508235294117647","0.508235294117647","219","219","219","","","","","",""
"1090","","","","","","","","","","","","","0.5129411764705882","0.5129411764705882","0.5129411764705882","221","221","221","","","","","",""
"1100","","","","","","","","","","","","","0.5176470588235295","0.5176470588235295","0.5176470588235295","223","223","223","","","","","",""
"1110","","","","","","","","","","","","","0.5223529411764706","0.5223529411764706","0.5223529411764706","225","225","225","","","","","",""
"1120","","","","","","","","","","","","","0.5270588235294118","0.5270588235294118","0.5270588235294118","227","227","227","","","","","",""
"1130","","","","","","","","","","","","","0.5317647058823529","0.5317647058823529","0.5317647058823529","229","229","229","","","","","",""
"1140","","","","","","","","","","","","","0.5364705882352941","0.5364705882352941","0.5364705882352941","231","231","231","","","","","",""
"1150","","","","","","","","","","","","","0.5411764705882353","0.5411764705882353","0.5411764705882353","233","233","233","","","","","",""
"1160","","","","","","","","","","","","","0.5458823529411765","0.5458823529411765","0.5458823529411765","235","235","235","","","","","",""
"1170","","","","","","","","","","","","","0.5505882352941176","0.5505882352941176","0.5505882352941176","237","237","237","","","","","",""
"1180","","","","","","","","","","","","","0.5552941176470588","0.5552941176470588","0.5552941176470588","239","239","239","","","","","",""
"1190","","","","","","","","","","","","","0.56","0.56","0.56","241","241","241","","","","","",""
"1200","","","","","","","","","","","","","0.5647058823529412","0.5647058823529412","0.5647058823529412","243","243","243","","","","","",""
"1210","","","","","","","","","","","","","0.5694117647058824","0.5694117647058824","0.5694117647058824","245","245","245","","","","","",""
"1220","","","","","","","","","","","","","0.5741176470588235","0.5741176470588235","0.5741176470588235","247","247","247","","","","","",""
"1230","","","","","","","","","","","","","0.5788235294117647","0.5788235294117647","0.5788235294117647","249","249","249","","","","","",""
"1240","","","","","","","","","","","","","0.5835294117647059","0.5835294117647059","0.5835294117647059","251","251","251","","","","","",""
"1250","","","","","","","","","","","","","0.5882352941176471","0.5882352941176471","0.5882352941176471","253","253","253","","","","","",""
"1260","","","","","","","","","","","","","0.5929411764705882","0.5929411764705882","0.5929411764705882","255","255","255","","","","","",""
"1270","","","","","","","","","","","","","0.5976470588235294","0.5976470588235294","0.5976470588235294","257","257","257","","","","","",""
"1280","","","","","","","","","","","","","0.6023529411764705","0.6023529411764705","0.6023529411764705","259","259","259","","","","","",""
"1290","","","","","","","","","","","","","0.6070588235294118","0.6070588235294118","0.6070588235294118","261","261","261","","","","","",""
"1300","","","","","","","","","","","","","0.611764705882353","0.611764705882353","0.611764705882353","263","263","263","","","","","",""
"1310","","","","","","","","","","","","","0.6164705882352941","0.6164705882352941","0.6164705882352941","265","265","265","","","","","",""
